text,Label
situasi konflik israel palestina akan menjadi cermin bagi kondisi geopolitik di timur tengah dan juga di level internasional,0
yang membuat saya takjub adalah konflik ini terjadi sudah berapa dekade,2
aksi kekerasan terbaru israel di masjid al aqsa bisa digunakan sebagai momentum untuk menegakkan hukum hukum internasional terkait konflik palestina israel,0
kabar konflik apapun itu apalagi di palestina memang ibarat geledek di siang bolong yang bikin kesel dan sakit hati tapi dengan propaganda tujuan mendukung sesuatu tanpa mengajak orang kamu bisa paham,2
eror tidak hanya dilakukan oleh individu dan kelompok dari agama dan etnis tertentu yang terjadi di palestina adalah teror sebuah rezim,2
palestina membutuhkan kehadiran pemikiran dari persyarikatan muhammadiyah yang diharapkan dapat mencarikan solusi bagaimana caranya agar palestina dapat menikmati kemerdekaannya,0
mari kita tundukan kepala dan doakan saudara saudara muslim kita di palestina ataupun daerah konflik timur tengah agar senantiasa diberikan kesabaran,0
lucunya dari jaman ke jaman doamu tidak dikabulkan lalu apa yang salah konflik palestina vs israel bukan soal agama yaa tapi politik kekuasaan dan itu sudah ada,0
konflik israel palestina itu tidak akan berenti sampai hari kiamat nanti,2
iya setuju saya simpati juga dengan palestina,0
ada yang bilang konflik di palestina bukan soal agama mungkin benar dia kata,0
jujur sampai sekarang saya tidak mengerti akar masalah yang trjadi antara palestina dan israel,2
konflik palestina hanya dengan doa bukanlah solusi apa yang terjadi di al quds adalah masalah politik dan membutuhkan solusi politik kekerasan sistematis suatu negara seharusnya tidak diselesaika,0
palestina dan israel itu konfliknya bukan dalam konteks konflik agama tapi politik kaget saja komenannya pada dukung israel secara tidak langsung kamu pada dukung colonialisme atau penjajahan,2
dan palestina dan israel itu konfliknya bukan dalam konteks konflik agama tapi politik kaget saja komenannya pada dukung israel secara tidak langsung kamu pada dukung colonialisme atau penjajahan,0
orang indo dan atau yang mengaku pancasila nkri harga mati soekarnois juga yang dukung zionist dan israel itu bodoh iya,2
mereka berkedok lembaga sosial,2
entah apakah cuma aku yang merasa kalau konflik palestina dan israel ini tidak begitu ditanggapi sama dunia dan publik figur dunia,2
ntah apakah cuma aku yang merasa kalau konflik palestina dan israel ini tidak begitu ditanggapi sama dunia dan publik figur dunia,2
buat orang kristen yang mendukung israel karena perjanjian lama sepertinya sangat bodoh mereka lupa kalau palestina juga diisi minoritas kristen konflik ini murni politik dan bukan perang agama,2
bangsa palestina mendiami tanah kosong itu ketika bangsa israel terusir saat kalah dijajah dan akhirnya menyebar keseluruh dunia bagaimana pun juga,0
israel ingin ngerebut palestina cuma atas dasar kepercayaan mereka dan ini konflik abadi sampai kiamat tertulis di kitab,2
iya israel ingin ngerebut palestina cuma atas dasar kepercayaan mereka dan ini konflik abadi sampai kiamat tertulis di kitab,0
konflik israel palestina itu konflik perebutan daerah atau politik bukan masalah agama,0
konflik yang tidak akan pernah berujung nii sampai kiamat,2
sedang apa ngurusin palestina sudah kliatan konflik kepentingan,2
sebel banget lihat masih banyak yang framing konflik israel palestina sebagai konflik zionis yahudi vs muslim palestina,2
memberikan kemerdekaan kepada hongkong dan melepaskan taiwan dari permasalahan internasional beserta penyelesaian konflik israel palestina,0
konflik israel palestina harus di lihat akar masalahnya,1
dari dulu sampai sekarang belum pernah denger ada pasukan perdamaian pbb dipalestina percuma ada badan dunia tapi tidak bisa menyelesaikan konflik palestina israel kaya ada pem,2
dalam pikirku yang kolot dan terbatas ini iya peran redaksi media itu diuji saat pelanggaran ham yang ada di palestina media yang mau ku kritisi adalah tepewen why tendensi pimred cenderu,2
saya profesional dan kontra soal kasus palestina dan israel,0
tidak akan pernah israel dapat menghancur kan masjid alaqsa sampai kiamat pun dan israel tidak akan musnah sampai hari akhir jika bisa di hancur kan sudah sejak lama,0
setuju memang agenda utama indonesia apabila jadi member tidak tetap un security council adalah untuk membela hak palestina menjadi negara seutuhnya,1
kalau palestina dan israel sudah berdamai artinya kiamat sudah dekat,2
save semoga orang orang di palestina dalam keadaan sehat semua dan semoga konflik yang selama ini terjadi bisa berakhir secepat mungkin amiinnnn,1
mungkin kita sudah bisa lebih dewasa kali iya untuk mencoba melihat konflik kali ini dari sisi yang lebih objektif tidak melulul tentang kesedihan palestina kenapa,1
ini saya bikin thread pembahasannya hanya tentang kasus yang lagi ramai minggu blakangan ini iya mengajak kita sama berpikir objektif saja bukan tentang konflik palestina zionis israel yang sudah mau satu abad ini,2
konflik israel palestina mengingatkanku akan kebaikan hati saladin ketika berhasil merebut kota jerusalem saladin enggan untuk menyiksa ataupun mengusir umat non muslim dari jerusalem,0
soal konflik israel palestina sebenernya israel juga lelah nyerang melulu cuma mereka sadar saja kalau mereka berhenti serang bakal kiamat wkwkwk,2
kaum cerdas dan kritis nkri kalau soal konflik israel palestina,0
mari melihat israel dan palestina sebagai konflik negara bukan konflik agama,1
saya bukan profesional yahudi asal anda tahu tapi saya profesional kenyataan saja sih fakta yang ada yang sebenarnya terjadi rakyat biasa palestina dan israel mereka hidup normal berdampingan sebenar,2
akhirnya israel bakal buat serangan udara di gaza mengapa negara arab tidak ada yang mau nyuplai senjata ke palestina bisa dipakai ngehajar negara arab lain cuma iran yang mau suplai sygnya simp,2
cukup fair jika pem perlu juga dorong rakyat palestina hindari tindakan provokatif yang mancing konflik dng aparat israel konflik hanya rugikan semua fihak dorong semua fihak ciptakan peraturan daerah,2
dari kemarin belajar soal sejarah palestina israel dari diusirnya kaum yahudi dari yudae sama kaum romawi smpe runtuhnya kerajaan ottoman yang menyebabkan hilangnya perlindungan atas palestina,0
banyak pertanyaan pbb kemana dalam kasus palestina israel padahal pbb sudah mengambil tindakan sejak awal konflik,1
pertanyaannya pbb kemana dalam kasus palestina israel pbb sudah mengambil tindakan sejak awal konflik,2
yang bikin palestina dan israel perang itu karena ada kemiripan sejarah,0
di indonesia pemandangan seperti ini mungkin cuma petasan atau kembang api tapi di gaza dan israel,2
facebook sangat tidak ramah dengan berita konflik palestina israel tiga akun saya tumbang gegara memberitakan situasi terkini perlakuan zionist terhadap rakyat palestina,2
konflik israel palestina itu bukan melulu soal agama tapi konflik kepentingan yang mereka perebutan itu wilayah,0
yang bilang tapi nanti kiamat tertawa ke orang berharap konflik israel palestina selesai is seriously selfish gila saja ngometarin hal separah itu pakai tertawa,1
banyak yang masih mikir kejadian di palestina itu sebatas konflik agama hai tidak begitu loh ini sudah ngelawan ham,1
konflik palestina israel memang bukan konflik sisi agama,1
konflik palestina hanya dengan doa bukanlah solusi apa yang terjadi di al quds adalah masalah politik dan membutuhkan solusi politik kekerasan sistematis suatu negara seharusnya tidak diselesai,0
gapaham kenapa negara lain bahkan pbb terkesan tutup mata dengan konflik israel palestina itu sudah bertahun tahun gilaa,2
perlawanan palestina ini semacam intifada jilid dan israel layak disebut sebagai negara teroris,2
iya allah kapan iya konflik palestina israel bisa segera berakhir,0
memang siapa yang bilang konflik israel palestina itu konflik agama dari dulu juga kayaknya ini konflik wilayah deh tidak ada hubungannya dengan konflik yahudi islam,0
sedih padahal palestina itu negara pertama yang bantu mengakui kedaulatan indonesia kita terbantu banget dulu tapi sekarang mrk bgini,2
harus tahu dulu sejarah nya bagaimana antara palestina dan israel memang tidak di benar kan untuk berperang semoga cepat terselesaikan masalahnya turut berduka bagi yang ditinggalkan,1
kita semua setuju serangan israel ke palestina itu adalah kejatahan,0
serangan israel ke palestina tidak diketahui oleh idol kpop biasa tu idol kesayangan pada kasi dukungan kalau ada tragedi,2
setuju sikap indonesia menentang dan mengutuk serangan israel ke palestina penjajahan di atas dunia harus dihapuskan,0
gapernah membicarakan konflik israel palestina karena gajelas dan simpang siur,2
jadi israel mau ningkatin serangan udara nya setelah mendapatkan peluru kendali dari gaza yang jelas jelas di ledakin di udara sama iron dome kalau pihak israel nya tidak pengaruh apa apa,0
konflik palestina dan israel tidak akan pernah damai sampai akhir zaman,0
isu konflik israel palestina ujung ujungnya selalu dibanding bandingkan dengan isu papua dan minoritas tertindas di mari yang di mana kaya kotoran kucing saja sih kamu begini ginian masih saja pada adu dan,2
satu hal yang tidak pernah saya suka dari konflik israel palestina gaza adalah israel dan palestina gaza sama sama peralatan tempur,2
indonesia memang kalau ada apa apa cuma menang heboh saja setidaknya di bidang sepakbola dan konflik israel palestina,2
semoga kedamaian segera terwujud di palestina terlepas apapun penyebab konflik tersebut tidak seharusnya menyebabkan terancamnya kenyamanan kehidupan bahkan hilangnya nyawa my thoughts and prayers for human,1
di tingkat masyarakat pun begitu mayoritas masyarakat punya kepedulian besar pada pembebasan palestina amp penyelesaian konflik di sana itu bagus atas nama kemanusiaan namun sekali lagi,1
terlepas dari nyinyiran soal yang terjadi di palestina bukan konflik agama lah,1
terlalu banyak hal yang tidak saya tahu terkait konflik israel palestina jadi daripada saya speak up terkait hal yang tidak saya tahu,1
palestina ini konflik rumit papua juga rumit indonesia bahkan makin rumit,2
kemana saja sby selama tahun menguasa rupanya kenapa tidak pada saat pak sby menguasa diselesaikan konflik antara israel dan palestina bicara pakai kaca dong mungkinkah ini efek sampin,2
amerika serikat dianggap oleh banyak pengamat sebagai penghambat resolusi konflik palestina israel sejak tahun,2
alangkah baiknya pemerintah indonesia menyerukan kepada israel dan palestina untuk menghentikan konflik bersenjata yang terjadi saat ini,2
konflik palestina sudah diluar nalar saya kenapa harus menyerang disaat beribadah dimana kemanusiaan itu,0
negara pemegang veto sudah mendesak adanya tindakan khusus pada konflik disana dan amerika sudah jelas mulai goyah dan perasaan presiden sudah ngeluarin statement nya,0
konflik palestina kekerasan militer hanya bisa dihentikan dengan intervensi militer,2
konflik palestina sama israel itu murni politik jadi teman teman tolong jangan diliat dari sisi agama tertentu di israel dan palestina itu ada kristen,1
wish saya semoga konflik palestina dan israel ini ketemu titik terang ada dialog yang bisa dilakuka sehingga segala bentuk kekerasan bisa dihindarkan amin,1
yang sedang terjadi antara palestina dan israel adalah tentang perebutan wilayah bukan perang antar agama ini orang orang bahkan bawa agama,0
persoalan palestina dan israel sampai kiamat tidak akan ada yang bisa menyelesaikan kecuali salah satu pihak bergabung atau berintegrasi kemudian menjadi satu negara besar tinggal,2
itulah yang namanya yahudi itu tidak mesti israel karena yahudi itu adalah ras bukan negara seperti halnya arab,0
saya tahu kamu pada sedang memberikan dukungan terkait situasi yang memanas antara palestina dan israel tapi bukan berarti ikut menyebarkan isu bohong tanpa melakukan validasi sama sekali perang di sana bukan,1
sama saya belum bisa nentuin siapa yang benar dan salah dari baca informasi yang beredar makanya kalem saja mantengin update berita palestina dan israel,1
loh ketika us menjajah dan membantai indian dibilang aneksasi smntara umat islam merebut palestina dari orang romawi disebut menjajah,0
harapanku sederhana saja seandainya saja perselisihan antara palestina dan israel ini bisa diselesaikan dengan hompimpa betapa menyenangkan dunia ini yang tanpa perang,1
orang di negara ini lebih melihat konflik tersebut dengan sentimen agama,0
habis itu keluar lagi tudingan kalau israel membantai warga sipil palestina yang tidak berdosa lihat pola serangan israel peluru kendali mrk jelas ke arah titik yang diduga tempat peluncuran roket hamas bandingkan,2
palestina dan israel bertikai dari kamu masih berbentuk pejuh tahun lagi data kamu dari mana jangan asal mangap malu sama jenggot,2
katanya palestina israel bukan konflik agama tapi kenapa act for humanity selalu bernarasi seperti konflik agama seorang muslimah diseret dan diborgol blablabla,0
kalau memang israel memberi tahu agar sipil palestina menjauh dari hamas kenapa masih banyak sipil palestin yang mati karena kena bom katamu ini bukan konflik agama lantas konflik apa,0
sejarah konflik israel palestina sebenernya panjang,0
yang jelas salah satu tanda kiamat adalah damainya wilayah palestina dan israel dari sini mungkin kita bisa berpikir tuhan masih memberi kita banyak waktu untuk jadi khalifah di,0
konflik palestina dan israel yang di sorot jurnalis tidak perlu saya komen karena beritanya tidak imbang alias tidak netral bodo amat,2
tensi antara israel dan palestina atas wilayah sheikh jarrah sudah ada sejak tahun an eskalasi konflik dipengaruhi oleh dinamika internal israel yang berkomitmen pada tujuannya dalam menguasai she,0
warisan islam yang ditanamkan dan mesti dipercaya dari konflik palestina israel adalah kalau mereka damai artinya kiamat tinggal ngitung hari selamat idul fitri,2
padahal beliau termasuk pemimpin yang benar benar mendukung penuh perjuangan palestina bahkan sering berkomunikasi dengan pimpinan hamas walaupun juga tidak bisa dipungkiri kerjasama antara turki,0
mana teroris yang katanya mau berjihat ayo karena dengan adanya konflik perang antara palestina dan israel kalian bisa mewujudkan perjuangan jihat kalian karena klu kalian mmng btl mau berjihat saat,2
memang nature konflik palestina israel secara khusus dan power relations timteng secara umum pelik dan kusut mereka bisa saling tampak sepihak di satu hal,2
melihat konflik israel dan palestina sebenarnya tidak sehitam putih itu apalagi melihatnya dari media media indonesia,0
kalau kasus palestina dan israel ini iya harus memihak tidak ada zona abu karena zona abu lebih bahaya dari lawan silahkan pilih yang mana tergantung hati nurani masing,0
prihatin dengan korban sipil dari pihak palestina maupun israel tapi heran saya kok masih ada saja orang indonesia yang menyalahkan hamas padahal konflik ini sudah cukup jelas antara yang kuat amp sewena,0
tidak semua karena israel ada konflik antara dua pihak fraksi utama palestina yaitu fatah dan hamas mayoritas peperangan adalah terjadi di jalur gaza hamas yang lebih dahulu,0
agak susah untuk bilang tidak ada unsur agama di konflik palestina karena israel berdiri atas dasar klaim bahwa jerusalem dan sekitarnya adalah tanah yang dijanjikan tuhan untuk bangsa yahudi,0
sah mana banyak banget orng sok tahu yang blng hrsnya indonesia kirim pasukan ke palestina dong,0
propaganda halus dengan penggunaan kata kata konflik digunakan media zionis sebagai retorika propagandis untuk mengkaburkan represi israel kepada warga palestina sebagai self defense dan mendeko,0
palestina itu negara merdeka dan sudah diakui oleh pbb israel palestina itu konflik wilayah dari negara negara palestina serang negara israel dengan roket amp peluru kendali,0
aku pernah dengar ceramah kalau konflik palestina dan israel itu sudah di takdirkan allah dalam al quran beserta alasannya dalam beberapa hadis yang artinya iya memang sudah garis itu,0
serangan israel ke yerusalem adalah bentuk serangan ke seluruh muslim melindungi kehormatan yerusalem adalah kewajiban bagi setiap muslim kami akan terus bersama sauda,0
dengan cara di luar proporsi dan jauh lebih besar daripada ketidakadilan yang jauh lebih dahsyat ini yang kita saksikan akhir ini konflik yang terus meningkat antara israel dan palestina kekuatan besar,0
melihat polemik yang terjadi antara palestina dan israel yang belum menemukan titik ujungnya,0
ramai soal palestina dan israel daripada orang palestina dan tersakiti,0
daripada palestina dan israel tempur terus,0
membicarakan konflik israel palestine sama aba bisa tahu banyak fakta dan sejarah membicarakan konflik israel palestine sama mama israel laknat,2
diksi yang tepat bukan sekedar konflik antar agama tidak bisa dipungkiri konflik israel dan palestina banyak sekali dipengaruhi unjsr agama terutama islam dan yahudi sama sama mengklaim tanah kan,0
konflik israel dan palestina lebih ke masalah tanah wilayah daripada agama mereka sama sama inginkan tanah yang sekarang jadi wilayah israel dan palestina untuk menjadi tempat tinggal dan men,0
palestina israel di pusingin terus,2
saya heran sama pbb katanya untuk misi perdamaian dunia,2
palestina israel bukan konflik agama,1
nah jujur tidak suka sama muslim yang bilang saya mah netral soal konflik palestina israel masalah iman itu antara membela yang haq dan yang bathil tidak ada di sisi tengah,2
memang tidak ada gunanya tu pbb di dirikan,2
saya tidak suka sama kelakuan israel dan pbb tidak ada tindakan tegas percuma tu pbb di dirikan umurnya sudah tahun tapi komplik di palestina dan israel belum juga kelar,2
ini dia orang amerika si pembela israel pantas saja pbb tidak berkutik menyelesaikan konflik palestina israel inilah biang keroknya biang kerok yang menebarkan kezholiman berkuasa dimuka bumi ini tun,2
konflik israel palestina kembali membara bermula dari yerusalem,0
dan israel juga rakus soal teritorial dan tidak salah juga palestina mempertahankan tapi seharusnya pbb dengan kekuatan penuh dari perkumpulan bangsa bangsa,2
yang memahami konflik antara israel dan palestina adalah soal agama,0
sepanjang hayat selalu tersiar konflik israel palestina,2
saya amati timeline dari hari belakangan ini perihal konflik israel palestina itu hampir semua kaum moslem akun twiter berisi hujatan dan makian kepada israel,2
sebenarnya ini bukan perang negara tapi perang antar oknum yang sudah meracuni masyarakat israel dan palestina sampai jadi konflik berkepanjangan,2
konflik israel dan palestina kalau diklaim bukan berlandaskan agama,0
kebenaran tentang konflik israel palestina yang menyeruak kepermukaan adalah lonceng kematian bagi iran beserta milisi mailing list teror yang didukungnya cepat atau lambat akan terhempas one by one,0
seorang muslim membuat statement bahwa konflik israel palestina itu bukan konflik agama,1
lagi menunggu yang tweet begini konflik palestina dan israel itu hanya pengalihan isu,2
dan israel diberkati tuhan mereka yaitu yhwh sementara kerajaan filistin palestina dipimpin oleh goliath dan diberkati dewa dewi mereka pertanyaannya kenapa muslim mencatut tuhannya,0
bayangin berita ini tenggelam karena konflik palestina hahahaa separah itukah negara ini,2
yah jongos yahudi lebih baik diem daripada di bully jangan ngetweet hal yang sensitif buat publik pigur mau konflik agama atau kemanusiaan intinya yahudi itu merebut tanah palestina kasarnya rampok mali,2
konflik israel palestina dan usa iran bisa menyebabkan perang lebih besar lagi mohon pbb segera damaikan mr abuti,2
turki selalu seperti itu ketika ada konflik israel palestina nyata nya tidak pernah berani konfrantasi langsung dng israel,2
yang dipersempit jadi konflik sektarian tapi saya juga tidak mendukung penindasan terhadap kelompok apapun jadi saya tetap hormati sikap anda mendukung palestina,1
pandangan zakir naik tentang palestina dan israel yahudi behwa orng yahudi lah yang paling keras permusuhannya trhdap kaum muslimin gal gadot may allah,0
di palestina bukan hanya ada islam ada yahudi ada orthodok begitu juga di israel nukankah sudah dituliskan dalam al quran bahwa tidak akan selesai palestina dan israel selain darip,0
palestina butuh dukungan dunia bukan cuma dukungan dunia islam yang lagi acakadut masjid dirusak tidak berarti itu pasti konflik agama sulit memang memahaminya,2
note israel tidak ingin ingin melihat konflik ini berakhir sampai mereka telah mengambil alih semua wilayah palestina dan belum lagi mereka akan terus menerus memainkan kartu korban untuk membenarkan,0
media sama tokoh agama tidak seharusnya bikin orang mikir konflik palestina sama israel itu konflik agama kebanyakan tweetnya cuma nyinggung muslim,2
sepertinya ada yang tidak rela kalau senjata di gaza berasal dari hizbullah dan iran saya heran mereka ini melihat konflik palestina dari sisi apa,2
jadi semua konflik yang terjadi antara israel palestina awalnya berasal dari penjajahan inggris di timur tengah again,0
ini akan meningkatkan konflik di wilayah pendudukan dan antara para pemukim dan orang orang palestina yang tinggal di daerah daerah ini apa yang paling ditakuti oleh para pemimpin israel,0
bahkan bikin makin jadi rumit perang yang tidak imbang begini,2
memang kenapa sih harus ditemakan dengan konflik agama memangnya kalau tidak demikian jihad mendukung palestina merdeka jadi invalid begitu di sinilah kebanyakan mispe,0
pbb melarang penjajahan semenjak sehabis perang dunia kedua dan israel melakukan itu kepada palestina gal gadot juga memilih kata tetangga daripada orang orang palestina menurut saya ini,0
orang banyak pilihan alasan dalam melihat konflik palestina kenapa terganggu sekali jika ada melihat dari perspektif sejarah agama pertanyaan yang kamu lontarkan tersebut sudah melenceng kemana dan aneh,1
orang banyak pilihan alasan dalam melihat konflik palestina kenapa terganggu sekali jika ada yang melihat dari perspektif sejarah agama pertanyaan yang kamu lontarkan tersebut sudah melenceng kemana dan aneh,2
konflik antara israel sama palestina itu tidak ada hubungannya sama agama tuhan,1
jangan membicarakan konflik timur tengah kalau kamu sendiri masih egois ngedoain hanya muslim palestina,2
tragedi palestina bukan konflik agama terus saya minta jelasin dari awal eskalasi konfliknya ke orang yang bicara seperti begitu bahkan dia tidak mengerti apa apa,0
hamas akui beberapa komandan top gugur akibat serangan udara israel,0
pemberitaan tersebut hanya framing yang digunakan israel sebagai alasan kuat untuk melakukan serangan udara ke gaza,0
itu yang diharapkn israel sebagai alasan kuat untuk melakukan serangan udara ke palestina,0
israel cuba menutup kekejaman yang berlaku ke atas gaza dengan memusnahkan menara terbesar di gaza yang menempatkan pejabat media dan wartawan berita dalam serangan yang dilancarkan oleh pesawat,0
israel palestina ini tidak lagi menjadi konflik agama namun ini adalah kolonialisme dengan cover agama mengingat banyaknya komunitas arab di israel maupun yahudi di palestina justru dengan bilan,0
ternyata palestina dan israel Cuma gimic menyambut idul fitri selamat atas kenaikan isa al masih,2
asal muasal dan pemicu memanasnya pertempuran terbaru palestina israel hal hal yang perlu diketahui untuk memahami asal muasal meningkatnya ketegangan terbaru konflik palestina israel https,0
konflik yang ada tidak pernah selesai seperti palestina israel adalah konflik sengaja di pelihara karena banyak pedagang yang ambil untung dengan konflik itu,2
yak ceramah hari ini diisi dengan materi konflik israel palestina dan komunis china daratan,2
ternyata tidak semua muslim arab profesional ke palestina iya,2
jadi orang jangan tolol amat lah menyamakan konflik israel palestin dengan mayo mino indonesia di palestina terjadi kejahatan perang,2
yang saya amati banyak yang tidak paham dipaksakan paham dalam konflik palestina dan israel jadinya bahkan menimbulkan masalah baru ribut masalah ras agama mino dan mayo haduh fokus saja se,1
jangan hamas itu kroninya israel hamas dibutuhkan israel untuk melegitimasi serangan ke palestina kita tahu roket hamas letoy dan tidak destruktif tapi dengan adanya roket itu,2
konflik israel vs palestina ialah pintu perang saudara dan jika terjadi pecah perang,0
ada saja masyarakat indo yang dukung israel yang jelas jelas pelaku penindasan perang pemikiran on going belokin konflik israel palestina jadi isu mayoritas minoritas hasilnya,2
serangan roket hamas akan jadi dalih israel lebih keras menggempur pasukan israel sudah siapkan serangan darat melumpuhkan hamas ke daerah palestina kekuatan militer israel tidak seban,0
israel terus melancarkan serangan udara ke jalur gaza di hari perayaan idul fitri hingga kamis pagi,0
israel menetralisir para pemimpin kunci kelompok teroris hamas dan jihad islam yang bertanggung jawab atas serangan teror roket ke israel intel israel bekerja akurat teroris palestina pun bingung,0
justru negara pecahan soviet yang menghimbau vladimir putin desak konflik israel dan palestina segera dihentikan,0
laporan situasi konflik palestina ekstrim kanan yahudi serang wartawan roket israel berhasil hantam pabrik roket amp pusat kendali drone hamas pasukan darat israel siap masuk gaza,0
konflik palestina israel itu gampang banget solusinya hapus negara palestina dan israel,2
saya kakak perempuan sebenernya sudah berjanji sama diri sendiri tidak akan bahas hal yang serius lagi di twitter apalagi tentang konflik israel palestina,2
asal mula konflik tanah yang eskalasinya makin besar sampai berbalas roket antara israel dan palestina ternyata pertikaian swasta tapi dibawa ke ranah politik dan etnis,0
konflik india pakistan bangladesh ada karena inggris ngaco gambar peta misahin dua wilayah negara itu tapi asal asalan konflik israel palestina juga sama tertawa,2
itu narasi yang dipropagandakan israel untuk menyederhanakan penjajahan mereka sebagai konflik hamas vs israel palestina bukan sekedar hamas,0
salah satu yang paling bagus dalam menjelaskan konflik israel palestina duaduanya ada benarnya dan ada salahnya,0
menyimak konflik palestina di grup facebook iya tidak akan mendapatkan apa ada postingan kota di israel rusuh bahkan bersyukur padahal yang terjadi warga arab dan palestina sedang dikeroyok,1
hadist yang menjelaskan soal tidak akan terjadi kiamat sebelum muslim memerangi yahudi kok bahkan dikait kaitkan sama konflik israel palestina ini tafsir sok tahu dari mana deh,2
jangan jangan isu palestina juga dimanfaatkan para politisi lokal untuk mendongkrak elektabilitas dan dukungan rakyat setempat dengan memelintir isu tersebut menjadi sentimen keagamaan,2
mangga di simak untuk pengidola pres erdogan simple sih sebenarnya konflik israel palestina bisa cepat kelar kalau negara di timteng bersatu,2
sampai kapan pun konflik di palestina israel tidak ada yang bisa menengahi damai kan keyakinan keagamaan tidak bisa dipungkiri me,0
kenapa iya saya selama ini mikir kalau yang terjadi di palestina itu konflik agama waktu baca lebih dalam kok ternyata bukan,0
kok konflik bedakan dong konflik dengan penjajahan,0
